"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Jacob Pullen",3000,"HOU@PHI 10/25/2017 07:00PM ET",0,"PHI"
"PG","T.J. McConnell",3000,"HOU@PHI 10/25/2017 07:00PM ET",9.688,"PHI"
"PG/SF","Nik Stauskas",3000,"HOU@PHI 10/25/2017 07:00PM ET",1.500,"PHI"
"SG/SF","Furkan Korkmaz",3000,"HOU@PHI 10/25/2017 07:00PM ET",0,"PHI"
"PG","Edmond Sumner",3000,"IND@OKC 10/25/2017 08:00PM ET",0,"IND"
"SG/SF","Damien Wilkins",3000,"IND@OKC 10/25/2017 08:00PM ET",3.667,"IND"
"PF/C","Ike Anigbogu",3000,"IND@OKC 10/25/2017 08:00PM ET",0.000,"IND"
"PG/SG","Joe Young",3000,"IND@OKC 10/25/2017 08:00PM ET",5.750,"IND"
"SF/PF","TJ Leaf",3000,"IND@OKC 10/25/2017 08:00PM ET",13.083,"IND"
"SF","Alex Poythress",3000,"IND@OKC 10/25/2017 08:00PM ET",1.250,"IND"
"PF/C","Nick Collison",3000,"IND@OKC 10/25/2017 08:00PM ET",0,"OKC"
"SG/SF","Kyle Singler",3000,"IND@OKC 10/25/2017 08:00PM ET",0,"OKC"
"PG/SG","Raymond Felton",3000,"IND@OKC 10/25/2017 08:00PM ET",14.833,"OKC"
"SF","Daniel Hamilton",3000,"IND@OKC 10/25/2017 08:00PM ET",0,"OKC"
"PG/SG","PJ Dozier",3000,"IND@OKC 10/25/2017 08:00PM ET",0,"OKC"
"SG/SF","Terrance Ferguson",3000,"IND@OKC 10/25/2017 08:00PM ET",1.375,"OKC"
"C","Dakari Johnson",3000,"IND@OKC 10/25/2017 08:00PM ET",11.000,"OKC"
"SF/PF","Josh Huestis",3000,"IND@OKC 10/25/2017 08:00PM ET",5.583,"OKC"
"PF/C","Johnathan Motley",3000,"MEM@DAL 10/25/2017 08:30PM ET",0,"DAL"
"SF","Dorian Finney-Smith",3000,"MEM@DAL 10/25/2017 08:30PM ET",7.188,"DAL"
"C","Salah Mejri",3000,"MEM@DAL 10/25/2017 08:30PM ET",13.250,"DAL"
"PF/C","Josh McRoberts",3000,"MEM@DAL 10/25/2017 08:30PM ET",0,"DAL"
"PG/SG","Devin Harris",3000,"MEM@DAL 10/25/2017 08:30PM ET",12.500,"DAL"
"C","Jeff Withey",3000,"MEM@DAL 10/25/2017 08:30PM ET",4.875,"DAL"
"PF","Maxi Kleber",3000,"MEM@DAL 10/25/2017 08:30PM ET",8.125,"DAL"
"PF","Vince Hunter",3000,"MEM@DAL 10/25/2017 08:30PM ET",0,"MEM"
"PF/C","Ivan Rabb",3000,"MEM@DAL 10/25/2017 08:30PM ET",0,"MEM"
"SG","Kobi Simmons",3000,"MEM@DAL 10/25/2017 08:30PM ET",0,"MEM"
"PG/SG","Wayne Selden Jr.",3000,"MEM@DAL 10/25/2017 08:30PM ET",0,"MEM"
"PF/C","Deyonta Davis",3000,"MEM@DAL 10/25/2017 08:30PM ET",0,"MEM"
"SG/SF","Rodney McGruder",3000,"SA@MIA 10/25/2017 08:00PM ET",0,"MIA"
"SG","Matt Williams",3000,"SA@MIA 10/25/2017 08:00PM ET",0,"MIA"
"SF/PF","Okaro White",3000,"SA@MIA 10/25/2017 08:00PM ET",0,"MIA"
"PG","Derrick Walton Jr.",3000,"SA@MIA 10/25/2017 08:00PM ET",0,"MIA"
"PF/C","Bam Adebayo",3000,"SA@MIA 10/25/2017 08:00PM ET",0.000,"MIA"
"PF/C","Jordan Mickey",3000,"SA@MIA 10/25/2017 08:00PM ET",14.000,"MIA"
"PF/C","Udonis Haslem",3000,"SA@MIA 10/25/2017 08:00PM ET",0,"MIA"
"C","A.J. Hammons",3000,"SA@MIA 10/25/2017 08:00PM ET",0,"MIA"
"PF/C","Joffrey Lauvergne",3000,"SA@MIA 10/25/2017 08:00PM ET",13.833,"SA"
"SG","Brandon Paul",3000,"SA@MIA 10/25/2017 08:00PM ET",3.000,"SA"
"PG/SG","Bryn Forbes",3000,"SA@MIA 10/25/2017 08:00PM ET",4.250,"SA"
"PG/SG","Derrick White",3000,"SA@MIA 10/25/2017 08:00PM ET",0,"SA"
"PF","Matt Costello",3000,"SA@MIA 10/25/2017 08:00PM ET",0,"SA"
"SF/PF","Davis Bertans",3000,"SA@MIA 10/25/2017 08:00PM ET",2.500,"SA"
"SG/SF","Darrun Hilliard",3000,"SA@MIA 10/25/2017 08:00PM ET",0,"SA"
