"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Frank Kaminsky",5000,"DEN@CHA 10/25/2017 07:00PM ET",24.917,"CHA"
"PF/C","Dario Saric",5000,"HOU@PHI 10/25/2017 07:00PM ET",16.188,"PHI"
"PF/C","Domantas Sabonis",5000,"IND@OKC 10/25/2017 08:00PM ET",27.083,"IND"
"PF/C","Pau Gasol",5000,"SA@MIA 10/25/2017 08:00PM ET",23.583,"SA"
"PG/SG","Jordan Clarkson",4900,"WAS@LAL 10/25/2017 10:30PM ET",26.667,"LAL"
"PG","Derrick Rose",4900,"CLE@BKN 10/25/2017 07:30PM ET",20.500,"CLE"
"SF/PF","Jae Crowder",4900,"CLE@BKN 10/25/2017 07:30PM ET",17.583,"CLE"
"SG/SF","Allen Crabbe",4900,"CLE@BKN 10/25/2017 07:30PM ET",25.083,"BKN"
"SF/PF","Rudy Gay",4900,"SA@MIA 10/25/2017 08:00PM ET",22.250,"SA"
"SG/SF","Danny Green",4900,"SA@MIA 10/25/2017 08:00PM ET",30.417,"SA"
"PF/C","Julius Randle",4800,"WAS@LAL 10/25/2017 10:30PM ET",16.083,"LAL"
"SF/PF","Larry Nance Jr.",4800,"WAS@LAL 10/25/2017 10:30PM ET",23.917,"LAL"
"C","Nerlens Noel",4800,"MEM@DAL 10/25/2017 08:30PM ET",23.313,"DAL"
"SG/SF","Wesley Matthews",4800,"MEM@DAL 10/25/2017 08:30PM ET",23.938,"DAL"
"SF/PF","JaMychal Green",4800,"MEM@DAL 10/25/2017 08:30PM ET",4.750,"MEM"
"SF/PF","Kyle Kuzma",4700,"WAS@LAL 10/25/2017 10:30PM ET",24.417,"LAL"
"SG","Kentavious Caldwell-Pope",4700,"WAS@LAL 10/25/2017 10:30PM ET",30.000,"LAL"
"PG/SG","J.J. Barea",4700,"MEM@DAL 10/25/2017 08:30PM ET",28.000,"DAL"
"SG/SF","Norman Powell",4600,"TOR@GS 10/25/2017 10:30PM ET",17.500,"TOR"
"PF/C","Dirk Nowitzki",4600,"MEM@DAL 10/25/2017 08:30PM ET",19.188,"DAL"
"SF/PF","T.J. Warren",4500,"UTA@PHO 10/25/2017 10:00PM ET",21.938,"PHO"
"PF/C","Jakob Poeltl",4500,"TOR@GS 10/25/2017 10:30PM ET",23.167,"TOR"
"PG/SG","Jamal Murray",4500,"DEN@CHA 10/25/2017 07:00PM ET",14.750,"DEN"
"SF","Michael Kidd-Gilchrist",4500,"DEN@CHA 10/25/2017 07:00PM ET",0,"CHA"
"PG/SG","Yogi Ferrell",4500,"MEM@DAL 10/25/2017 08:30PM ET",24.313,"DAL"
"SG/SF","Dillon Brooks",4500,"MEM@DAL 10/25/2017 08:30PM ET",20.583,"MEM"
"SG/SF","Kyle Anderson",4500,"SA@MIA 10/25/2017 08:00PM ET",20.417,"SA"
"PG","Mike James",4400,"UTA@PHO 10/25/2017 10:00PM ET",22.188,"PHO"
"SG/SF","Trevor Ariza",4400,"HOU@PHI 10/25/2017 07:00PM ET",18.938,"HOU"
"SF/PF","P.J. Tucker",4400,"HOU@PHI 10/25/2017 07:00PM ET",18.750,"HOU"
