player	matchup	datetime	fp	cost	value	min	pts	reb	ast	stl	blk	to
Wayne Selden Jr. PG/SG	MEM  @  DAL OUT	Wed 8:30pm	10.0	3,000	3.33	19.35	4.7	1.8	1.4	0.5	0.1	1.0
Kenneth Faried PF/C	DEN  @  CHA	Wed 7:00pm	9.9	4,000	2.48	10.32	4.4	2.8	0.5	0.4	0.3	0.4
Langston Galloway PG/SG	MIN  @  DET	Wed 7:00pm	9.8	3,100	3.15	6.15	5.1	1.5	1.0	0.5	0.1	0.5
Johnny O'Bryant III PF/C	DEN  @  CHA	Wed 7:00pm	9.7	3,000	3.23	1.85	4.3	3.1	0.5	0.3	0.2	0.5
Ante Zizic PF/C	CLE  @  BKN	Wed 7:30pm	9.7	3,000	3.23	1.96	4.5	2.1	0.8	0.4	0.3	0.7
Cedi Osman SG/SF	CLE  @  BKN	Wed 7:30pm	9.7	3,000	3.23	0.11	4.5	2.1	0.8	0.4	0.3	0.7
Jordan Mickey PF/C	SA  @  MIA	Wed 8:00pm	9.7	3,000	3.23	2.67	3.4	3.3	0.4	0.3	0.6	0.5
Chris McCullough PF/C	WSH  @  LAL	Wed 10:30pm	9.5	3,000	3.17	0.11	3.9	2.8	0.6	0.3	0.4	0.5
Kyle Anderson SG/SF	SA  @  MIA	Wed 8:00pm	9.5	4,500	2.11	9.70	3.3	2.5	1.0	0.6	0.3	0.6
Corey Brewer SG/SF	WSH  @  LAL	Wed 10:30pm	9.5	3,200	2.95	3.31	4.1	1.8	0.9	0.8	0.2	0.8
Alex Abrines SG/SF	IND  @  OKC	Wed 8:00pm	9.3	3,100	3.01	11.88	5.8	1.1	0.5	0.4	0.1	0.6
Aaron Brooks PG/SG	MIN  @  DET	Wed 7:00pm	9.3	3,000	3.09	3.82	4.0	1.1	2.1	0.5	0.1	1.3
Anthony Tolliver SF/PF	MIN  @  DET	Wed 7:00pm	9.3	3,000	3.08	3.14	3.9	2.8	0.6	0.3	0.1	0.4
Fred VanVleet PG	TOR  @  GS	Wed 10:30pm	9.2	3,000	3.05	7.58	3.7	1.2	1.5	0.7	0.2	0.7
Patrick McCaw SG/SF	TOR  @  GS	Wed 10:30pm	9.1	3,300	2.76	12.13	4.0	1.6	1.1	0.5	0.2	0.4
Carrick Felix SG/SF	WSH  @  LAL	Wed 10:30pm	8.9	3,000	2.95	1.34	4.4	1.8	0.6	0.4	0.2	0.5
Demetrius Jackson PG	HOU  @  PHI	Wed 7:00pm	8.8	3,000	2.94	1.15	4.1	1.3	1.3	0.5	0.1	0.9
Nick Collison PF/C	IND  @  OKC	Wed 8:00pm	8.7	3,000	2.88	0.10	3.0	3	0.5	0.2	0.5	0.5
Trey Lyles SF/PF	DEN  @  CHA	Wed 7:00pm	8.6	3,000	2.88	1.66	4.2	1.9	0.4	0.4	0.3	0.5
Thomas Bryant PF/C	WSH  @  LAL	Wed 10:30pm	8.6	3,100	2.76	0.11	4.2	1.8	0.6	0.4	0.2	0.7
Josh Hart PG/SG	WSH  @  LAL	Wed 10:30pm	8.6	3,200	2.67	0.11	4.2	1.8	0.6	0.4	0.2	0.7
Joe Harris SG/SF	CLE  @  BKN	Wed 7:30pm	8.6	3,400	2.51	2.83	4.6	1.8	0.6	0.4	0.1	0.8
A.J. Hammons C	SA  @  MIA GTD	Wed 8:00pm	8.5	3,000	2.84	2.11	3.7	2.7	0.3	0.1	0.6	0.8
Chandler Parsons SF/PF	MEM  @  DAL	Wed 8:30pm	8.5	3,300	2.58	15.55	4.2	1.9	0.8	0.4	0.1	0.6
Tomas Satoransky PG/SG	WSH  @  LAL	Wed 10:30pm	8.5	3,000	2.82	3.10	3.2	1.4	1.6	0.5	0.2	0.9
Malik Beasley PG	DEN  @  CHA	Wed 7:00pm	8.4	3,000	2.81	1.72	4.5	1.1	0.9	0.4	0.1	0.5
Jose Calderon PG	CLE  @  BKN	Wed 7:30pm	8.4	3,000	2.81	12.27	2.8	1.3	2.4	0.2	0.1	0.8
Troy Daniels SG	UTAH  @  PHX	Wed 10:00pm	8.2	3,000	2.74	3.72	4.9	1.5	0.5	0.1	0.2	0.6
Luis Montero SF	MIN  @  DET	Wed 7:00pm	8.2	3,000	2.73	0.10	3.8	1.8	0.9	0.2	0.2	0.4
Dwight Buycks PG	MIN  @  DET OUT	Wed 7:00pm	8.2	3,000	2.73	0.10	3.8	1.8	0.9	0.2	0.2	0.4
Damian Jones C	TOR  @  GS GTD	Wed 10:30pm	8.2	3,000	2.73	0.10	2.8	3	0.2	0.2	0.6	0.5
Mario Chalmers PG	MEM  @  DAL	Wed 8:30pm	8.1	3,700	2.2	7.27	3.8	2.3	0.5	0.2	0.2	0.7
Lorenzo Brown PG	TOR  @  GS	Wed 10:30pm	8.1	3,000	2.71	0.11	4.1	1.7	0.7	0.3	0.1	0.4
Udonis Haslem PF/C	SA  @  MIA	Wed 8:00pm	8.0	3,000	2.68	2.72	3.0	3.1	0.3	0.3	0.2	0.6
Marcus Paige PG	DEN  @  CHA	Wed 7:00pm	8.0	3,000	2.68	0.10	3.5	1.9	0.7	0.4	0.2	0.6
Kyle Singler SG/SF	IND  @  OKC	Wed 8:00pm	8.0	3,000	2.65	3.54	4.4	1.6	0.5	0.3	0.1	0.6
Luke Kennard SG	MIN  @  DET	Wed 7:00pm	7.9	3,000	2.64	10.38	3.9	1.7	0.6	0.4	0.1	0.6
Ike Anigbogu PF/C	IND  @  OKC	Wed 8:00pm	7.9	3,000	2.62	0.09	3.6	2	0.7	0.3	0.1	0.6
Edmond Sumner PG	IND  @  OKC OUT	Wed 8:00pm	7.9	3,000	2.62	0.09	3.6	2	0.7	0.3	0.1	0.6
Treveon Graham SG/SF	DEN  @  CHA	Wed 7:00pm	7.8	3,000	2.6	11.55	4.0	1.4	0.6	0.3	0.1	0.4
Bruno Caboclo SF	TOR  @  GS	Wed 10:30pm	7.8	3,000	2.59	2.95	3.5	1.9	0.4	0.5	0.2	0.5
Davis Bertans SF/PF	SA  @  MIA	Wed 8:00pm	7.7	3,000	2.58	1.71	3.8	1.7	0.5	0.3	0.2	0.5
T.J. Leaf SF/PF	IND  @  OKC	Wed 8:00pm	7.6	3,000	2.52	9.27	3.3	2	0.5	0.3	0.2	0.4
Rodney McGruder SG/SF	SA  @  MIA GTD	Wed 8:00pm	7.5	3,000	2.48	4.13	3.7	1.6	0.5	0.2	0.2	0.3
Kevon Looney SF/PF	TOR  @  GS	Wed 10:30pm	7.5	3,000	2.48	1.07	2.9	2.4	0.2	0.2	0.5	0.4
Cole Aldrich C	MIN  @  DET	Wed 7:00pm	7.5	3,000	2.48	1.31	1.8	2.6	0.5	0.4	0.5	0.3
Anthony Brown SG/SF	MIN  @  DET OUT	Wed 7:00pm	7.4	3,000	2.48	2.45	3.5	1.5	0.7	0.4	0.1	0.4
Ekpe Udoh PF/C	UTAH  @  PHX	Wed 10:00pm	7.4	3,000	2.46	1.87	4.0	1.7	0.5	0.2	0.1	0.6
Tyler Lydon PF	DEN  @  CHA	Wed 7:00pm	7.4	3,000	2.46	1.51	3.4	1.7	0.8	0.2	0.2	0.5
Tony Bradley PF/C	UTAH  @  PHX	Wed 10:00pm	7.4	3,000	2.46	0.11	4.0	1.7	0.5	0.2	0.1	0.6
Monte Morris PG	DEN  @  CHA	Wed 7:00pm	7.4	3,000	2.46	0.10	3.4	1.7	0.8	0.2	0.2	0.5
Kyle Wiltjer F	TOR  @  GS	Wed 10:30pm	7.3	N/A	N/A	0.10	3.3	1.8	0.5	0.4	0.2	0.6
Eric Moreland PF/C	MIN  @  DET	Wed 7:00pm	7.3	3,000	2.42	9.70	3.3	1.8	0.6	0.3	0.1	0.5
Joseph Young PG/SG	IND  @  OKC	Wed 8:00pm	7.0	3,000	2.33	1.34	3.7	1.1	0.9	0.2	0.1	0.4
Jordan Bell PF/C	TOR  @  GS	Wed 10:30pm	6.9	3,300	2.08	0.08	3.2	1.8	0.4	0.2	0.2	0.3
Daniel Hamilton SF	IND  @  OKC	Wed 8:00pm	6.7	3,000	2.23	0.09	3.4	1.5	0.6	0.2	0.1	0.5
Dakari Johnson C	IND  @  OKC	Wed 8:00pm	6.7	3,000	2.23	1.03	3.4	1.5	0.6	0.2	0.1	0.5
Terrance Ferguson SG/SF	IND  @  OKC	Wed 8:00pm	6.2	3,000	2.06	8.08	3.0	1.3	0.6	0.2	0.1	0.3
Marcus Georges-Hunt SG/SF	MIN  @  DET	Wed 7:00pm	6.1	3,000	2.03	1.87	2.5	1.4	0.9	0.2	0.1	0.7
Mike James PG	UTAH  @  PHX	Wed 10:00pm	5.9	4,400	1.34	8.35	3.3	1.3	0.4	0.1	0.1	0.4
Jarrett Allen PF/C	CLE  @  BKN	Wed 7:30pm	4.5	3,600	1.26	5.71	2.3	1.1	0.2	0.2	0.0	0.2
Derrick White PG/SG	SA  @  MIA	Wed 8:00pm	4.2	3,000	1.4	0.07	1.9	1.2	0.3	0.1	0.1	0.2
Henry Ellenson PF/C	MIN  @  DET	Wed 7:00pm	4.0	3,000	1.33	4.34	2.1	1.2	0.2	0.0	0.1	0.3
Gian Clavell PG	MEM  @  DAL	Wed 8:30pm	4.0	3,100	1.29	6.19	1.8	1	0.3	0.1	0.1	0.3
OG Anunoby SF/PF	TOR  @  GS	Wed 10:30pm	3.9	3,000	1.3	5.47	1.8	0.8	0.4	0.1	0.1	0.3
Darrell Arthur PF	DEN  @  CHA	Wed 7:00pm	1.6	3,000	0.54	0.65	0.7	0.3	0.1	0.1	0.1	0.1
Omri Casspi SF/PF	TOR  @  GS	Wed 10:30pm	1.4	3,000	0.48	1.50	0.4	0.3	0.1	0.1	0.0	0.1
Lucas Nogueira PF	TOR  @  GS	Wed 10:30pm	1.4	4,200	0.33	1.78	0.5	0.6	0.0	0.0	0.1	0.1
Justin Anderson SF/PF	HOU  @  PHI	Wed 7:00pm	1.4	3,000	0.46	0.63	0.7	0.3	0.1	0.1	0.0	0.1
Alex Caruso PG/SG	WSH  @  LAL	Wed 10:30pm	1.3	3,000	0.42	1.16	0.4	0.2	0.1	0.1	0.0	0.1
Damien Wilkins SG/SF	IND  @  OKC	Wed 8:00pm	1.1	3,000	0.36	1.17	0.4	0.3	0.1	0.0	0.0	0.1
Jonas Jerebko SF/PF	UTAH  @  PHX	Wed 10:00pm	0.7	3,500	0.19	0.89	0.3	0.3	0.0	0.0	0.0	0.0
Ivan Rabb PF/C	MEM  @  DAL	Wed 8:30pm	0.6	3,000	0.21	0.12	0.0	0.5	0.0	0.0	0.0	0.0
Okaro White SF/PF	SA  @  MIA GTD	Wed 8:00pm	0.6	3,000	0.19	0.20	0.2	0.3	0.0	0.0	0.0	0.0
Nik Stauskas PG/SF	HOU  @  PHI	Wed 7:00pm	0.6	3,000	0.18	0.16	0.1	0	0.0	0.0	0.0	0.0
Channing Frye PF/C	CLE  @  BKN	Wed 7:30pm	0.4	3,000	0.13	0.13	0.1	0	0.0	0.0	0.0	0.0
Derrick Jones Jr. SF	UTAH  @  PHX	Wed 10:00pm	0.4	3,000	0.13	0.49	0.2	0.1	0.0	0.0	0.0	0.0
Bam Adebayo PF/C	SA  @  MIA	Wed 8:00pm	0.3	3,000	0.11	0.61	0.2	0.1	0.0	0.0	0.0	0.0
Darrun Hilliard SG/SF	SA  @  MIA	Wed 8:00pm	0.2	3,000	0.05	0.10	0.0	0	0.0	0.0	0.0	0.0
Alec Peters SF/PF	UTAH  @  PHX	Wed 10:00pm	0.1	3,000	0.04	0.01	0.0	0.1	0.0	0.0	0.0	0.0
Boban Marjanovic C	MIN  @  DET	Wed 7:00pm	0.1	3,400	0.03	0.11	0.1	0	0.0	0.0	0.0	0.0
Nene Hilario C	HOU  @  PHI	Wed 7:00pm	0.0	3,400	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Jeremy Lin PG/SG	CLE  @  BKN OUT	Wed 7:30pm	0.0	4,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Tarik Black PF/C	HOU  @  PHI	Wed 7:00pm	0.0	3,300	0	0.06	0.0	0	0.0	0.0	0.0	0.0
Richaun Holmes PF/C	HOU  @  PHI OUT	Wed 7:00pm	0.0	3,900	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Trevor Ariza SG/SF	HOU  @  PHI	Wed 7:00pm	0.0	4,400	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Julyan Stone PG/SG	DEN  @  CHA OUT	Wed 7:00pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Reggie Bullock SG/SF	MIN  @  DET OUT	Wed 7:00pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Jimmy Butler SG	MIN  @  DET OUT	Wed 7:00pm	0.0	7,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Justin Patton C	MIN  @  DET OUT	Wed 7:00pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Derrick Rose PG	CLE  @  BKN OUT	Wed 7:30pm	0.0	4,900	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Michael Carter-Williams PG	DEN  @  CHA OUT	Wed 7:00pm	0.0	3,200	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Juan Hernangomez SF/PF	DEN  @  CHA OUT	Wed 7:00pm	0.0	3,800	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Davon Reed SG	UTAH  @  PHX OUT	Wed 10:00pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Salah Mejri C	MEM  @  DAL	Wed 8:30pm	0.0	3,000	0	0.11	0.0	0	0.0	0.0	0.0	0.0
Jared Dudley PF	UTAH  @  PHX	Wed 10:00pm	0.0	3,000	0	0.02	0.0	0	0.0	0.0	0.0	0.0
Pascal Siakam PF	TOR  @  GS	Wed 10:30pm	0.0	3,000	0	0.14	0.0	0	0.0	0.0	0.0	0.0
Markieff Morris SF/PF	WSH  @  LAL OUT	Wed 10:30pm	0.0	5,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
JaMychal Green SF/PF	MEM  @  DAL OUT	Wed 8:30pm	0.0	4,800	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Seth Curry PG/SG	MEM  @  DAL OUT	Wed 8:30pm	0.0	4,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Tony Parker PG	SA  @  MIA OUT	Wed 8:00pm	0.0	3,700	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Hassan Whiteside C	SA  @  MIA OUT	Wed 8:00pm	0.0	7,900	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Glenn Robinson III SG/SF	IND  @  OKC OUT	Wed 8:00pm	0.0	3,800	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Ben McLemore SG/SF	MEM  @  DAL OUT	Wed 8:30pm	0.0	3,500	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Tyler Zeller C	CLE  @  BKN	Wed 7:30pm	0.0	3,000	0	0.01	0.0	0	0.0	0.0	0.0	0.0
