PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF/C,Kelly Olynyk (9694979),Kelly Olynyk,9694979,PF,5600,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,C,Marcin Gortat (9694051),Marcin Gortat,9694051,C,5500,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,PF/C,Serge Ibaka (9694293),Serge Ibaka,9694293,PF,5400,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,SG/SF,Josh Richardson (9694988),Josh Richardson,9694988,SG,5400,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,SG/SF,Joe Ingles (9694173),Joe Ingles,9694173,SG,5300,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,SG/SF,Brandon Ingram (9693988),Brandon Ingram,9693988,SG,5200,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,PG/SG,Dwyane Wade (9694353),Dwyane Wade,9694353,PG,5200,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,SF/PF,DeMarre Carroll (9694421),DeMarre Carroll,9694421,SF,5200,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,SF/PF,Harrison Barnes (9694849),Harrison Barnes,9694849,SF,5200,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,SG/SF,Rodney Hood (9694164),Rodney Hood,9694164,SG,5100,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,PG/SF,Caris LeVert (9694425),Caris LeVert,9694425,PG,5100,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,SG/SF,Dion Waiters (9694983),Dion Waiters,9694983,SG,5100,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,PG/SG,Avery Bradley (9693877),Avery Bradley,9693877,PG,5000,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,SF/PF,Markieff Morris (9694053),Markieff Morris,9694053,SF,5000,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,PF/C,Derrick Favors (9694169),Derrick Favors,9694169,PF,5000,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,C,Jonas Valanciunas (9694297),Jonas Valanciunas,9694297,C,5000,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,SF/PF,Rondae Hollis-Jefferson (9694417),Rondae Hollis-Jefferson,9694417,SF,5000,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,SG,Gary Harris (9694487),Gary Harris,9694487,SG,5000,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,SF/PF,Wilson Chandler (9694490),Wilson Chandler,9694490,SF,5000,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,PF/C,Frank Kaminsky (9694548),Frank Kaminsky,9694548,PF,5000,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,PF/C,Dario Saric (9694667),Dario Saric,9694667,PF,5000,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,PF/C,Domantas Sabonis (9694735),Domantas Sabonis,9694735,PF,5000,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,PF/C,Pau Gasol (9695043),Pau Gasol,9695043,PF,5000,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,PG/SG,Jordan Clarkson (9693997),Jordan Clarkson,9693997,PG,4900,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,PG,Derrick Rose (9694357),Derrick Rose,9694357,PG,4900,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,SF/PF,Jae Crowder (9694360),Jae Crowder,9694360,SF,4900,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,SG/SF,Allen Crabbe (9694430),Allen Crabbe,9694430,SG,4900,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,SF/PF,Rudy Gay (9695047),Rudy Gay,9695047,SF,4900,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,SG/SF,Danny Green (9695059),Danny Green,9695059,SG,4900,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,PF/C,Julius Randle (9693984),Julius Randle,9693984,PF,4800,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,SF/PF,Larry Nance Jr. (9693993),Larry Nance Jr.,9693993,SF,4800,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,C,Nerlens Noel (9694853),Nerlens Noel,9694853,C,4800,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,SG/SF,Wesley Matthews (9694867),Wesley Matthews,9694867,SG,4800,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,SF/PF,JaMychal Green (9694915),JaMychal Green,9694915,SF,4800,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,SF/PF,Kyle Kuzma (9694001),Kyle Kuzma,9694001,SF,4700,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,SG,Kentavious Caldwell-Pope (9694005),Kentavious Caldwell-Pope,9694005,SG,4700,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,PG/SG,J.J. Barea (9694863),J.J. Barea,9694863,PG,4700,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,SG/SF,Norman Powell (9694299),Norman Powell,9694299,SG,4600,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PF/C,Dirk Nowitzki (9694859),Dirk Nowitzki,9694859,PF,4600,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,SF/PF,T.J. Warren (9694108),T.J. Warren,9694108,SF,4500,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PF/C,Jakob Poeltl (9694309),Jakob Poeltl,9694309,PF,4500,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PG/SG,Jamal Murray (9694494),Jamal Murray,9694494,PG,4500,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,SF,Michael Kidd-Gilchrist (9694552),Michael Kidd-Gilchrist,9694552,SF,4500,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,PG/SG,Yogi Ferrell (9694855),Yogi Ferrell,9694855,PG,4500,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,SG/SF,Dillon Brooks (9694919),Dillon Brooks,9694919,SG,4500,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,SG/SF,Kyle Anderson (9695054),Kyle Anderson,9695054,SG,4500,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,PG,Mike James (9694149),Mike James,9694149,PG,4400,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,SG/SF,Trevor Ariza (9694611),Trevor Ariza,9694611,SG,4400,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,SF/PF,P.J. Tucker (9694620),P.J. Tucker,9694620,SF,4400,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PG/SG,Markelle Fultz (9694671),Markelle Fultz,9694671,PG,4400,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,SG/SF,J.J. Redick (9694675),J.J. Redick,9694675,SG,4400,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,PF/C,Taj Gibson (9693937),Taj Gibson,9693937,PF,4300,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,SG/SF,Lance Stephenson (9694739),Lance Stephenson,9694739,SG,4300,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,SG/SF,Tyreke Evans (9694910),Tyreke Evans,9694910,SG,4300,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,PG/SG,Tyler Johnson (9694993),Tyler Johnson,9694993,PG,4300,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,SG/SF,Kelly Oubre Jr. (9694057),Kelly Oubre Jr.,9694057,SG,4200,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,PF,Lucas Nogueira (9694313),Lucas Nogueira,9694313,PF,4200,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PG/SG,Spencer Dinwiddie (9694435),Spencer Dinwiddie,9694435,PG,4200,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,PF/C,Ryan Anderson (9694616),Ryan Anderson,9694616,PF,4200,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,SG/SF,Josh Jackson (9694112),Josh Jackson,9694112,SG,4100,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PF/C,Marquese Chriss (9694117),Marquese Chriss,9694117,PF,4100,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PF/C,Jason Smith (9694062),Jason Smith,9694062,PF,4000,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,C,Ian Mahinmi (9694066),Ian Mahinmi,9694066,C,4000,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,PF/C,Alex Len (9694121),Alex Len,9694121,PF,4000,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,C,Tyson Chandler (9694125),Tyson Chandler,9694125,C,4000,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PG,Tyler Ulis (9694127),Tyler Ulis,9694127,PG,4000,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PF/C,Tristan Thompson (9694364),Tristan Thompson,9694364,PF,4000,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,SG/SF,J.R. Smith (9694372),J.R. Smith,9694372,SG,4000,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,PG/SG,Sean Kilpatrick (9694439),Sean Kilpatrick,9694439,PG,4000,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,PG/SG,Jeremy Lin (9694443),Jeremy Lin,9694443,PG,4000,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,PF/C,Kenneth Faried (9694498),Kenneth Faried,9694498,PF,4000,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,SG/SF,Nicolas Batum (9694559),Nicolas Batum,9694559,SG,4000,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,C,Cody Zeller (9694564),Cody Zeller,9694564,C,4000,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,C,Jahlil Okafor (9694680),Jahlil Okafor,9694680,C,4000,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,PG/SG,Jerryd Bayless (9694682),Jerryd Bayless,9694682,PG,4000,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,SG/SF,Bojan Bogdanovic (9694744),Bojan Bogdanovic,9694744,SG,4000,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,PG/SG,Seth Curry (9694872),Seth Curry,9694872,PG,4000,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,SG/SF,James Ennis III (9694941),James Ennis III,9694941,SG,4000,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,SF/PF,Justise Winslow (9694997),Justise Winslow,9694997,SF,4000,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,SG,Jamal Crawford (9693941),Jamal Crawford,9693941,SG,3900,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,SG/SF,Andre Iguodala (9694240),Andre Iguodala,9694240,SG,3900,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,SG/SF,C.J. Miles (9694304),C.J. Miles,9694304,SG,3900,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PG/SG,Delon Wright (9694316),Delon Wright,9694316,PG,3900,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PG/SG,Iman Shumpert (9694368),Iman Shumpert,9694368,PG,3900,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,PG,Emmanuel Mudiay (9694502),Emmanuel Mudiay,9694502,PG,3900,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,PF/C,Richaun Holmes (9694686),Richaun Holmes,9694686,PF,3900,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,PF/C,Al Jefferson (9694757),Al Jefferson,9694757,PF,3900,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,PF/C,Jarell Martin (9694937),Jarell Martin,9694937,PF,3900,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,PG,Ish Smith (9693881),Ish Smith,9693881,PG,3800,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,SG/SF,Stanley Johnson (9693884),Stanley Johnson,9693884,SG,3800,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,C,Ivica Zubac (9694008),Ivica Zubac,9694008,C,3800,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,PG/SG,Donovan Mitchell (9694178),Donovan Mitchell,9694178,PG,3800,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,SF/PF,Juancho Hernangomez (9694505),Juancho Hernangomez,9694505,SF,3800,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,SF/PF,Marvin Williams (9694555),Marvin Williams,9694555,SF,3800,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,SG/SF,Glenn Robinson III (9694749),Glenn Robinson III,9694749,SG,3800,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,PG,Cory Joseph (9694754),Cory Joseph,9694754,PG,3800,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,PG,Tim Frazier (9694068),Tim Frazier,9694068,PG,3700,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,SG/SF,Joe Johnson (9694182),Joe Johnson,9694182,SG,3700,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,SG,Nick Young (9694245),Nick Young,9694245,SG,3700,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,SF/PF,Luc Richard Mbah a Moute (9694633),Luc Richard Mbah a Moute,9694633,SF,3700,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,SG/SF,Andre Roberson (9694796),Andre Roberson,9694796,SG,3700,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,PG,Mario Chalmers (9694946),Mario Chalmers,9694946,PG,3700,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,PG,Tony Parker (9695067),Tony Parker,9695067,PG,3700,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,PF/C,Gorgui Dieng (9693944),Gorgui Dieng,9693944,PF,3600,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,PG/SG,Shaun Livingston (9694248),Shaun Livingston,9694248,PG,3600,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,PF/C,Jarrett Allen (9694447),Jarrett Allen,9694447,PF,3600,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,SG/SF,Manu Ginobili (9695070),Manu Ginobili,9695070,SG,3600,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,SF/PF,Jonas Jerebko (9694187),Jonas Jerebko,9694187,SF,3500,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,SG/SF,Thabo Sefolosha (9694195),Thabo Sefolosha,9694195,SG,3500,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,PF/C,Brandan Wright (9694924),Brandan Wright,9694924,PF,3500,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,SG/SF,Ben McLemore (9694928),Ben McLemore,9694928,SG,3500,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,SG/SF,Wayne Ellington (9695001),Wayne Ellington,9695001,SG,3500,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,PG,Patty Mills (9695064),Patty Mills,9695064,PG,3500,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,PF/C,Jon Leuer (9693889),Jon Leuer,9693889,PF,3400,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,C,Boban Marjanovic (9693893),Boban Marjanovic,9693893,C,3400,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,C,Alan Williams (9694130),Alan Williams,9694130,C,3400,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PG/SG,Alec Burks (9694191),Alec Burks,9694191,PG,3400,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,C,Zaza Pachulia (9694252),Zaza Pachulia,9694252,C,3400,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,SG/SF,Joe Harris (9694451),Joe Harris,9694451,SG,3400,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,SG/SF,Dwayne Bacon (9694570),Dwayne Bacon,9694570,SG,3400,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,C,Nene Hilario (9694624),Nene Hilario,9694624,C,3400,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PG/SG,Andrew Harrison (9694949),Andrew Harrison,9694949,PG,3400,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,SG,Jodie Meeks (9694071),Jodie Meeks,9694071,SG,3300,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,SG/SF,Patrick McCaw (9694254),Patrick McCaw,9694254,SG,3300,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,PF/C,Jordan Bell (9694259),Jordan Bell,9694259,PF,3300,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,SG/SF,Kyle Korver (9694377),Kyle Korver,9694377,SG,3300,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,C,Timofey Mozgov (9694456),Timofey Mozgov,9694456,C,3300,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,PF/C,Mason Plumlee (9694509),Mason Plumlee,9694509,PF,3300,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,PG/SG,Malik Monk (9694566),Malik Monk,9694566,PG,3300,DEN@CHA 10/25/2017 07:00PM ET,CHA,
